"whale_num","whale_ID","dive_num","dive_type","descent_dur","ascent_dur","descent_rate","ascent_rate","dive_dur","post_dive_surf","t_to_click","click_dur","fluke_rate","odba","max_depth","head_var"
12," zc08_164a ",6,0,7.79,9.176667,0.51294,0.400818,0.390056,10.033333,0.225833,0,0.056869,0.338766,247.514103,0.081888
12," zc08_164a ",7,0,13.996667,43.476667,1.142937,0.37409,1.075889,2.453333,0.961889,0.757917,0.191906,0.822815,1084.239876,0.127923
12," zc08_164a ",8,0,4.74,8.336667,0.838384,0.43884,0.336611,2.213333,0.584389,0,0.1231,0.430886,243.968209,0.105033
12," zc08_164a ",9,0,5.783333,7.09,0.626645,0.451218,0.296667,11.43,0.250833,0,0.070254,0.387684,213.881175,0.071518
12," zc08_164a ",10,0,20.873333,19.593333,0.616332,0.682155,0.968833,2.553333,2.721778,0.632917,0.198189,0.867915,891.078005,0.115474
12," zc08_164a ",11,0,8.296667,10.333333,0.783674,0.597701,0.468389,2.356667,2.210833,0,0.185843,0.530482,411.606449,0.091599
12," zc08_164a ",12,0,6.113333,10.433333,0.772436,0.415407,0.350333,2.076667,1.821222,0,0.089505,0.396244,288.788689,0.097943
12," zc08_164a ",13,0,9.57,6.46,0.490878,0.689457,0.395111,2.37,1.3915,0,0.082785,0.372869,296.875472,0.042392
12," zc08_164a ",14,0,5.986667,11.496667,0.629431,0.298644,0.360056,1.703333,0.991944,0,0.061074,0.372812,229.455278,0.082004
12," zc08_164a ",15,0,7.11,7.9,0.537987,0.431571,0.332056,1.86,0.6315,0,0.090793,0.379999,227.556417,0.081767
12," zc08_164a ",16,0,4.983333,7.83,0.68877,0.407241,0.313111,2.12,0.287389,0,0.111842,0.437366,213.034277,0.118583
12," zc08_164a ",17,0,5.743333,2.47,0.242637,0.580315,0.167944,2.62,0.084111,0,0.092659,0.512386,95.48421,0.057725
12," zc08_164a ",18,0,7.036667,25.103333,1.731639,0.475386,0.858667,2.23,1.42661,0.749444,0.164331,1.074292,795.764062,0.079238
12," zc08_164a ",19,0,14.136667,11.933333,0.580019,0.655173,0.669,2.033333,1.42661,0,0.097076,0.861353,521.558466,0.092357
12," zc08_164a ",20,0,7.493333,13.146667,0.873694,0.440271,0.585167,1.543333,1.42661,0,0.122657,0.885537,387.481969,0.093726
12," zc08_164a ",21,0,9.296667,9.833333,0.602558,0.531866,0.526444,1.953333,1.42661,0,0.102789,0.830539,348.80578,0.108622
12," zc08_164a ",22,0,8.33,7.293333,0.527154,0.560673,0.4635,2.386667,1.42661,0,0.105812,0.886364,272.777793,0.102266
12," zc08_164a ",23,0,7.063333,8.186667,0.540318,0.425148,0.349556,2.306667,1.42661,0,0.14839,1.045841,232.044078,0.105775
12," zc08_164a ",24,0,12.08,33.826667,1.12446,0.401654,1.227611,6.257245,1.42661,0.57296,0.255149,1.813595,905.833779,0.192131
13," zc12_169a ",1,0,6.96,10.243333,1.752097,1.117807,0.730111,2.413333,4.724028,0.500722,0.264585,0.842722,763.473631,0.069576
13," zc12_169a ",2,0,5.393333,5.776667,0.884666,0.729845,0.251389,2.153333,4.432417,0,0.174269,0.454431,281.034463,0.09249
